tripid,faremethod,fare,loc_from,loc_to,driverid,custid,distance,duration
49,2,140.1,7,1,1765,3317,7.01,13
50,2,114.3,9,5,1334,3408,4.43,6
51,2,132.4,9,10,1189,3033,6.24,10
52,4,57.15,3,6,1802,3362,4.43,16
53,3,56.9,4,9,1724,2452,4.38,6
54,2,176,5,15,1892,3060,10.6,20
55,2,318.24,3,9,1114,2166,16.76,10
56,2,354,5,3,1713,3882,18.25,19
57,2,238.56,5,5,1860,3962,13.44,11
58,4,88,15,3,1226,3204,10.6,12
59,2,291.84,6,5,1760,3106,15.66,6
60,3,156.36,8,12,1526,2640,16.53,17
61,2,391.68,5,14,1711,3230,19.82,11
62,3,123.6,9,8,1139,2822,13.8,6
63,2,310.32,14,5,1117,2893,16.43,9
64,2,377.28,14,7,1039,2522,19.22,12
65,2,169.6,4,13,1083,2988,9.96,18
66,2,93.6,7,6,1445,3550,2.36,11
67,2,132.4,5,3,1426,2924,6.24,6
68,3,53.45,5,5,1149,3087,3.69,6
69,2,271.2,1,10,1884,3067,14.8,12
70,2,377.28,10,7,1134,2415,19.22,1
71,2,158.9,13,7,1185,3620,8.89,3
72,2,176,6,2,1849,3917,10.6,15
73,2,177.2,12,4,1019,2316,10.72,14
74,2,148.5,10,6,1697,3196,7.85,6
75,2,211.68,1,2,1321,2326,12.32,20
76,3,180.48,11,12,1161,3662,18.54,12
77,1,83.4,10,7,1659,2503,9.68,8
78,2,290.4,11,9,1669,2380,15.6,13
79,2,310.32,13,2,1982,2093,16.43,22
80,2,354,4,12,1756,3582,18.25,4
81,2,118.2,3,8,1098,2871,4.82,23
82,2,192.24,3,15,1511,3051,11.51,11
83,2,318.24,13,9,1289,3039,16.76,20
84,1,82.3,5,10,1248,3750,9.46,6
85,1,180.48,10,12,1259,2380,18.54,1
86,3,96.12,3,15,1655,2798,11.51,4
87,2,150.4,11,13,1371,3950,8.04,13
88,2,220.8,15,10,1342,3685,12.7,19
89,2,178.3,14,10,1434,2070,10.83,19
90,2,158,3,5,1770,2471,8.8,11
91,2,182.64,9,10,1978,2455,11.11,18
92,2,125.8,5,8,1141,3363,5.58,23
93,3,66.2,12,10,1899,2845,6.24,11
94,4,137.52,8,3,1820,3773,14.96,8
95,2,304.32,8,15,1862,2723,16.18,6
96,4,154.8,12,9,1908,3112,16.4,14
97,3,77.6,7,4,1997,3422,8.52,7
98,2,129.8,3,8,1487,2074,5.98,4
99,2,164.6,8,10,1566,2348,9.46,6
100,2,125.4,7,14,1199,3270,5.54,17
101,1,64.5,6,1,1107,3878,5.9,22
102,2,360.96,12,2,1452,3052,18.54,6
103,2,336.48,11,3,1413,2515,17.52,13
104,3,155.16,2,5,1191,3177,16.43,15
105,2,116.6,2,3,1477,3500,4.66,3
106,4,180.48,4,2,1610,3810,18.54,1
107,2,244.08,6,7,1677,2237,13.67,18
108,1,145.92,11,14,1484,3920,15.66,12
109,1,84.8,3,12,1990,2808,9.96,9
110,4,180.48,12,12,1908,3324,18.54,23
111,2,244.08,9,14,1364,2344,13.67,22
112,2,121.2,14,13,1484,3677,5.12,14
113,2,178.3,11,7,1109,2843,10.83,6
114,2,114.3,10,6,1745,3449,4.43,19
115,2,114.3,8,6,1081,3845,4.43,13
116,1,195.84,6,10,1533,2783,19.82,12
117,2,132,15,14,1158,3520,6.2,9
118,2,334.32,4,5,1425,2854,17.43,16
119,2,228.72,10,2,1252,3310,13.03,19
120,2,139.4,11,4,1013,3602,6.94,6
121,3,57.1,5,4,1815,2612,4.42,15
122,2,309.6,6,14,1645,3292,16.4,11
123,3,167.16,2,12,1903,2748,17.43,20
124,1,79,10,5,1235,2719,8.8,15
125,3,167.16,6,12,1808,3236,17.43,20
126,3,188.28,1,2,1138,2053,19.19,6
127,2,110.4,6,11,1045,3777,4.04,9
128,2,318.24,11,11,1367,3891,16.76,17
129,3,159.12,7,11,1234,3239,16.76,16
130,2,354,10,3,1792,3006,18.25,10
131,4,46.8,12,6,1013,3187,2.36,9
132,2,129.8,11,5,1825,2439,5.98,5
133,3,180.84,15,6,1456,3188,18.57,12
134,3,137.52,6,8,1131,3745,14.96,6
135,2,304.08,7,12,1533,2652,16.17,13
136,3,83.4,2,7,1942,2413,9.68,18
137,3,46.8,10,6,1343,2782,2.36,5
138,2,150.4,2,13,1914,2346,8.04,11
139,2,99,8,7,1780,3737,2.9,11
140,2,244.08,12,14,1708,2674,13.67,9
141,2,395.52,3,11,1964,2430,19.98,16
142,2,155.2,3,4,1970,4000,8.52,9
143,2,291.84,12,14,1219,3374,15.66,22
144,4,60.6,10,13,1823,3055,5.12,10
145,2,155.7,11,7,1608,3289,8.57,1
146,2,149.5,11,4,1890,3753,7.95,9
147,4,60.6,2,6,1555,3315,5.12,11
148,2,177.2,15,1,1873,2763,10.72,12
149,3,58.55,12,11,1085,2963,4.71,17
150,2,176,12,3,1780,2741,10.6,9
151,2,113.8,1,8,1666,3915,4.38,1
152,1,186,7,15,1420,3583,19,19
153,2,312.72,1,9,1585,3495,16.53,11
154,2,227.52,7,13,1833,2454,12.98,6
155,2,304.08,7,14,1136,2364,16.17,13
156,4,83.4,4,7,1468,2169,9.68,2
157,3,49.9,7,15,1896,2810,2.98,7
158,2,91.8,3,5,1806,3996,2.18,6
159,1,67.25,4,8,1253,2225,6.45,19
160,2,99.8,8,3,1845,2341,2.98,19
161,2,381.6,15,4,1780,2871,19.4,12
162,2,340.8,7,5,1602,2146,17.7,19
163,2,92.1,4,10,1026,2981,2.21,18
164,4,88,13,2,1508,2635,10.6,6
165,4,170.4,10,15,1905,2344,17.7,14
166,2,110.4,9,11,1849,3873,4.04,5
167,1,99.6,15,13,1824,3213,11.8,6
168,4,57.1,13,4,1430,3173,4.42,7
169,2,340.8,4,5,1065,3144,17.7,17
170,2,165.2,7,14,1902,3975,9.52,16
171,3,55.1,3,8,1675,2500,4.02,11
172,2,155.2,13,8,1512,2283,8.52,10
173,4,113.76,4,13,1524,3141,12.98,14
174,2,354,15,12,1039,2257,18.25,11
175,2,125.4,6,14,1926,2523,5.54,10
176,2,106.9,1,5,1155,3870,3.69,6
177,2,155.2,8,4,1728,2805,8.52,5
178,3,106.68,2,12,1680,3462,12.39,4
179,4,105.84,3,2,1108,2617,12.32,13
180,2,99,15,7,1725,2323,2.9,18
181,2,391.68,15,10,1569,2775,19.82,15
182,3,188.28,8,1,1215,3105,19.19,6
183,2,121.2,11,6,1634,2332,5.12,10
184,2,271.2,14,10,1838,2499,14.8,15
185,4,123.6,12,8,1256,3314,13.8,11
186,2,304.08,8,12,1650,3564,16.17,7
187,2,118.2,10,11,1364,3344,4.82,12
188,2,132,12,2,1344,2426,6.2,6
189,2,156,4,1,1694,2381,8.6,10
190,3,152.16,9,14,1269,2507,16.18,6
191,3,65.15,9,7,1047,2644,6.03,15
192,2,318.24,1,11,1324,2024,16.76,6
193,3,117.36,5,14,1925,2325,13.28,1
194,2,186.72,7,4,1888,3104,11.28,12
195,2,169.6,4,13,1573,3581,9.96,17
196,2,304.08,12,14,1270,2887,16.17,17
197,2,93.6,6,8,1622,2860,2.36,9
198,3,119.28,15,5,1988,2702,13.44,12
199,3,99.6,14,5,1524,3778,11.8,9
200,1,73.3,10,6,1265,3602,7.66,9
201,2,149,10,11,1491,2144,7.9,9
202,2,326.88,4,2,1399,3297,17.12,21
203,2,318.24,2,9,1786,3336,16.76,23
204,1,82.6,6,14,1563,2859,9.52,1
205,1,89.15,2,10,1004,3349,10.83,14
206,2,110.4,13,11,1042,3655,4.04,15
207,4,66,3,14,1719,2523,6.2,22
208,2,116.6,10,6,1025,3624,4.66,13
209,1,167.16,5,5,1275,3253,17.43,5
210,2,99,3,15,1978,2820,2.9,14
211,2,361.68,10,10,1463,3173,18.57,12
212,2,254.64,1,6,1237,2220,14.11,17
213,2,336.48,5,3,1961,2524,17.52,4
214,2,276.72,1,11,1873,2646,15.03,15
215,2,176,13,2,1721,2286,10.6,6
216,3,55.1,10,8,1919,3485,4.02,10
217,2,146.6,10,6,1754,3600,7.66,13
218,2,176,5,3,1087,3127,10.6,8
219,1,152.88,12,6,1624,3571,16.24,10
220,3,120.6,6,12,1034,3175,13.55,12
221,4,57.1,14,15,1563,3140,4.42,10
222,2,155.7,7,7,1985,3896,8.57,13
223,2,182.64,14,12,1027,3405,11.11,22
224,1,180.84,12,6,1555,2267,18.57,16
225,2,381.6,4,4,1350,3822,19.4,20
226,2,186.24,2,7,1158,2640,11.26,6
227,3,46.8,12,8,1219,3109,2.36,16
228,1,79,3,5,1407,3855,8.8,8
229,2,241.2,15,12,1747,3850,13.55,4
230,2,211.68,5,2,1894,2075,12.32,16
231,3,143.4,1,6,1610,3669,15.45,11
232,4,135.6,12,11,1307,2544,14.8,21
233,2,220.8,14,10,1990,2268,12.7,18
234,3,93.12,6,7,1359,2580,11.26,11
235,2,290.4,1,6,1208,3280,15.6,13
236,1,188.64,14,7,1123,2880,19.22,10
237,4,45,15,3,1282,3863,2,11
238,2,326.88,5,8,1223,3806,17.12,22
239,2,110.2,8,8,1447,2748,4.02,9
240,2,275.04,6,8,1462,3313,14.96,18
241,2,116.6,9,6,1261,3978,4.66,21
242,1,135.6,2,11,1414,2218,14.8,15
243,3,46.8,6,8,1852,3111,2.36,11
244,4,168.24,5,3,1991,3760,17.52,11
245,1,152.88,14,6,1903,2770,16.24,11
246,2,310.8,13,1,1626,3972,16.45,11
247,3,147.84,5,10,1804,2562,15.82,15
248,3,110.4,13,10,1603,3882,12.7,15
249,2,141,15,10,1277,3704,7.1,6
250,4,70.5,8,9,1634,2479,7.1,19
251,2,271.2,3,10,1870,2309,14.8,12
252,4,188.64,1,7,1869,2930,19.22,6
253,2,158,8,4,1186,2826,8.8,15
254,1,92.88,1,14,1204,2546,11.24,12
255,3,46.05,13,10,1293,2358,2.21,12
256,1,93.12,5,11,1071,3630,11.26,6
257,1,53.45,15,9,1760,2064,3.69,3
258,2,323.76,11,14,1348,2787,16.99,23
259,2,149.5,12,11,1413,2611,7.95,13
260,2,275.04,5,8,1413,2726,14.96,15
261,2,149,9,1,1911,3414,7.9,16
262,4,105.84,6,9,1903,2666,12.32,6
263,3,45.9,10,3,1876,2530,2.18,8
264,2,309.6,7,14,1299,2507,16.4,21
265,2,199.2,5,5,1233,2035,11.8,5
266,3,143.4,4,2,1886,2634,15.45,22
267,2,395.52,5,11,1634,3208,19.98,9
268,2,290.4,11,6,1833,3189,15.6,19
269,2,336.48,1,3,1919,2644,17.52,11
270,2,146.6,9,6,1656,2998,7.66,19
271,2,318.24,10,11,1332,3512,16.76,12
272,1,113.76,2,2,1099,3702,12.98,12
273,2,395.52,13,13,1726,3679,19.98,10
274,1,65.15,6,9,1828,3575,6.03,1
275,2,129.8,3,8,1871,2647,5.98,15
276,1,69.7,7,4,1009,2020,6.94,6
277,2,310.8,14,1,1321,2917,16.45,11
278,2,247.2,11,12,1514,2978,13.8,9
279,2,295.68,7,5,1391,2206,15.82,8
280,2,391.68,13,10,1346,2640,19.82,3
281,2,99.8,3,15,1685,2240,2.98,5
282,2,113.8,8,9,1101,2061,4.38,6
283,3,147.84,5,10,1443,3448,15.82,6
284,2,169.6,14,13,1905,3424,9.96,8
285,2,117.1,1,11,1366,3195,4.71,8
286,3,99.96,1,11,1844,3328,11.83,17
287,3,122.04,10,7,1740,2497,13.67,6
288,1,65.15,5,9,1588,3622,6.03,9
289,2,176,9,3,1853,2679,10.6,19
290,1,188.64,2,13,1704,2547,19.22,17
291,2,312.72,13,9,1726,3749,16.53,1
292,4,65.15,8,7,1634,2074,6.03,16
293,2,372,3,6,1631,3474,19,10
294,2,165.2,12,11,1687,2464,9.52,4
295,2,291.84,4,14,1322,3670,15.66,6
296,2,116.6,6,6,1410,3169,4.66,20
297,2,150.4,2,9,1389,2785,8.04,12
298,2,114.3,15,5,1133,3099,4.43,6
299,2,155.2,7,4,1430,3451,8.52,9
300,2,178.3,8,7,1694,2289,10.83,7
301,2,177.2,11,1,1305,3583,10.72,13
302,2,276.72,11,11,1073,3288,15.03,14
303,2,93.6,6,6,1514,2692,2.36,18
304,1,66,2,14,1535,2376,6.2,1
305,3,84.8,7,12,1838,2761,9.96,23
306,2,132.4,13,3,1841,2083,6.24,11
307,2,100.4,9,7,1087,2469,3.04,16
308,2,91.8,4,3,1525,2830,2.18,10
309,4,49.5,11,7,1921,3906,2.9,19
310,4,156.36,6,12,1750,2736,16.53,9
311,4,45.9,11,3,1067,3476,2.18,6
312,3,45.9,3,3,1644,3959,2.18,6
313,2,244.08,8,7,1599,3610,13.67,22
314,2,121.2,14,13,1448,3136,5.12,4
315,2,381.6,4,4,1814,3240,19.4,6
316,4,180.84,7,6,1727,3032,18.57,6
317,2,304.08,8,12,1676,2823,16.17,11
318,1,93.36,8,2,1395,2701,11.28,23
319,1,89.15,5,2,1379,2175,10.83,18
320,4,163.44,7,2,1469,2380,17.12,17
321,1,46.05,5,13,1497,3004,2.21,11
322,2,199.2,13,5,1037,3804,11.8,11
323,2,166.8,15,7,1543,2195,9.68,21
324,3,73.3,9,6,1250,2740,7.66,19
325,3,96.12,14,2,1901,2291,11.51,16
326,2,156,5,13,1190,2446,8.6,19
327,4,177,14,3,1015,2688,18.25,11
328,4,64.5,1,1,1639,3120,5.9,11
329,3,163.44,13,2,1404,2199,17.12,6
330,2,192.24,12,15,1881,3506,11.51,18
331,2,286.8,3,6,1682,2118,15.45,21
332,3,120.6,9,1,1857,2278,13.55,17
333,2,116.6,13,6,1236,2641,4.66,16
334,2,301.68,15,3,1638,2311,16.07,20
335,2,110.4,1,2,1062,2886,4.04,11
336,2,158.9,5,9,1345,3725,8.89,11
337,2,271.2,12,10,1739,3870,14.8,17
338,2,110.4,3,2,1584,2757,4.04,21
339,2,391.68,6,10,1537,2501,19.82,16
340,2,391.68,12,14,1747,2791,19.82,14
341,2,158,9,5,1807,2030,8.8,15
342,2,113.8,3,8,1595,2889,4.38,12
343,4,74.9,7,4,1575,2243,7.98,20
344,2,99.8,2,15,1709,2516,2.98,18
345,2,121.2,1,13,1465,2513,5.12,12
346,4,89.15,1,10,1199,3379,10.83,22
347,2,178.3,3,10,1673,3426,10.83,17
348,1,88.6,1,4,1941,2250,10.72,15
349,1,89.15,6,2,1692,2774,10.83,20
350,2,234.72,13,14,1284,3512,13.28,10
351,1,58.3,13,6,1292,3483,4.66,13
352,3,190.8,7,4,1686,2822,19.4,3
353,2,185.76,6,13,1040,2562,11.24,14
354,1,92.88,14,13,1297,2722,11.24,9
355,2,372,4,6,1833,2062,19,12
356,2,116.6,8,3,1914,2154,4.66,6
357,2,372,10,15,1358,3180,19,13
358,2,310.8,1,15,1594,2921,16.45,14
359,2,164.6,8,4,1914,2235,9.46,6
360,2,100.4,9,1,1204,2700,3.04,17
361,4,89.15,6,10,1671,2941,10.83,11
362,2,178.3,5,7,1484,2007,10.83,21
363,4,55.1,14,1,1509,3659,4.02,13
364,2,304.32,7,15,1458,3110,16.18,16
365,1,52.8,4,4,1320,2253,3.56,9
366,2,156,10,13,1607,3237,8.6,14
367,4,66.2,1,3,1071,2114,6.24,12
368,2,192.24,13,15,1083,3890,11.51,11
369,2,113.8,13,8,1428,2151,4.38,6
370,2,372,12,15,1357,3931,19,6
371,1,122.04,9,7,1207,2585,13.67,1
372,1,168.24,8,7,1758,2760,17.52,5
373,2,155.7,7,10,1363,2357,8.57,17
374,1,57.1,12,4,1009,2131,4.42,6
375,2,116.6,15,3,1651,3238,4.66,11
376,3,155.4,7,1,1786,3534,16.45,18
377,2,110.2,3,8,1873,3178,4.02,6
378,2,105.3,15,15,1666,2272,3.53,21
379,2,276.72,7,3,1703,2333,15.03,22
380,4,154.8,13,9,1933,2484,16.4,6
381,3,86.7,15,4,1077,3168,10.34,16
382,2,125.8,10,13,1681,2349,5.58,9
383,2,304.08,9,14,1874,2553,16.17,14
384,1,96.12,15,2,1390,2004,11.51,6
385,1,99.6,6,13,1784,3275,11.8,16
386,2,106.9,10,5,1218,3969,3.69,15
387,2,238.56,4,1,1321,2597,13.44,19
388,2,125.4,13,4,1886,2665,5.54,11
389,2,166.8,1,7,1084,2427,9.68,23
390,2,376.56,3,1,1422,2346,19.19,10
391,4,105.84,5,9,1142,3372,12.32,12
392,3,78,4,1,1666,2380,8.6,3
393,4,106.68,3,12,1865,2312,12.39,6
394,3,45,2,3,1050,2588,2,22
395,2,395.52,15,11,1557,3635,19.98,9
396,2,381.6,2,4,1519,2399,19.4,10
397,2,182.64,6,10,1168,3192,11.11,4
398,2,176,5,9,1195,2120,10.6,10
399,3,55.1,1,1,1821,3817,4.02,1
400,2,176,6,2,1936,2676,10.6,11
401,2,334.32,5,12,1208,2901,17.43,6
402,2,247.2,8,12,1640,3961,13.8,17
403,4,46.05,8,10,1399,2151,2.21,19
404,3,66,7,2,1790,2108,6.2,15
405,4,79.45,6,7,1842,2385,8.89,15
406,2,290.4,11,6,1255,3869,15.6,11
407,2,312.72,10,9,1102,2528,16.53,9
408,1,67.25,7,8,1955,2479,6.45,19
409,2,132,10,14,1785,2385,6.2,19
410,2,114.2,1,15,1702,3496,4.42,11
411,3,88,3,9,1401,3754,10.6,7
412,2,148.5,10,6,1664,3090,7.85,12
413,2,340.8,10,5,1660,2773,17.7,20
414,2,149.8,14,13,1479,2693,7.98,19
415,2,295.68,4,5,1329,2973,15.82,21
416,2,199.92,4,11,1957,3089,11.83,12
417,2,166.8,10,5,1459,3279,9.68,14
418,4,147.84,1,5,1193,3388,15.82,10
419,2,186.72,9,4,1380,3277,11.28,19
420,1,56.9,9,8,1479,3289,4.38,12
421,2,121.2,11,6,1885,2619,5.12,13
422,1,152.88,10,6,1206,3797,16.24,11
423,2,125.4,10,4,1892,3747,5.54,16
424,2,100.4,4,7,1349,2644,3.04,16
425,3,188.28,4,2,1727,3892,19.19,7
426,2,99,3,15,1871,3397,2.9,13
427,4,45,2,1,1343,2815,2,6
428,2,220.8,11,10,1487,3371,12.7,15
429,2,139.4,12,12,1501,2957,6.94,6
430,2,125.4,15,14,1669,3598,5.54,1
431,2,301.68,14,3,1613,3933,16.07,1
432,2,149.5,10,4,1666,2341,7.95,20
433,1,143.4,14,2,1005,3484,15.45,12
434,2,116.6,2,3,1532,3276,4.66,12
435,4,50.2,9,7,1200,3757,3.04,16
436,3,190.8,15,4,1530,3163,19.4,19
437,4,48.4,1,15,1451,2497,2.68,11
438,2,361.68,15,10,1665,2019,18.57,13
439,1,89.15,8,10,1280,3476,10.83,4
440,2,395.52,15,13,1099,2054,19.98,15
441,3,52.65,13,8,1238,2682,3.53,9
442,2,290.4,10,6,1481,3413,15.6,12
443,2,254.64,10,6,1782,2454,14.11,16
444,4,88,6,15,1312,3616,10.6,16
445,2,149,13,11,1290,3967,7.9,18
446,2,330.48,14,13,1565,3220,17.27,12
447,2,295.68,3,10,1885,3800,15.82,12
448,2,146.6,14,7,1244,3869,7.66,20
449,2,310.8,1,1,1931,2228,16.45,13
450,4,82.1,1,8,1343,3716,9.42,10
451,2,244.08,11,14,1438,2797,13.67,9
452,2,211.68,15,9,1241,2508,12.32,11
453,3,119.28,13,1,1846,3845,13.44,11
454,1,99.6,10,13,1578,2972,11.8,4
455,2,149.8,4,13,1182,3852,7.98,11
456,1,137.52,13,3,1654,3356,14.96,11
457,2,238.56,14,1,1341,2984,13.44,12
458,2,99,8,15,1508,2620,2.9,17
459,2,146.6,6,7,1564,3819,7.66,21
460,3,89.15,1,7,1426,3297,10.83,23
461,1,67.25,12,14,1506,3629,6.45,16
462,1,88,8,2,1391,2198,10.6,11
463,1,155.4,3,15,1521,2078,16.45,2
464,3,53.45,5,5,1307,3244,3.69,11
465,2,241.2,3,12,1804,3107,13.55,20
466,3,79,15,5,1578,2941,8.8,10
467,4,156.36,11,9,1276,3243,16.53,17
468,2,228.72,12,10,1220,2274,13.03,18
469,2,186.24,6,11,1185,2889,11.26,8
470,2,360.96,15,12,1405,3334,18.54,9
471,2,227.52,1,2,1976,3826,12.98,8
472,4,135.6,3,11,1400,2080,14.8,17
473,2,164.6,6,10,1027,3709,9.46,12
474,3,77.6,14,4,1952,3585,8.52,1
475,4,58.3,12,3,1922,2169,4.66,10
476,2,336.48,6,7,1214,2628,17.52,19
477,1,49.9,3,3,1592,3066,2.98,12
478,2,132.4,4,3,1722,3795,6.24,5
479,2,244.08,3,14,1557,3813,13.67,12
480,4,88,3,15,1796,3051,10.6,17
481,2,391.68,10,14,1654,2409,19.82,10
482,2,176,14,2,1963,2767,10.6,4
483,3,64.5,4,1,1589,3791,5.9,13
484,2,164.6,5,10,1859,3646,9.46,8
485,4,64.9,15,8,1973,2456,5.98,19
486,2,354,4,12,1830,2002,18.25,10
487,1,57.15,4,6,1151,3107,4.43,20
488,2,121.2,15,6,1464,3834,5.12,12
489,2,155.7,12,10,1288,2435,8.57,11
490,2,105.6,9,4,1824,3743,3.56,6
491,2,105.3,12,8,1285,2652,3.53,19
492,2,158.9,15,7,1334,3664,8.89,11
493,2,276.72,10,3,1503,2616,15.03,14
494,2,336.48,8,3,1649,2503,17.52,16
495,4,152.16,11,15,1342,3586,16.18,9
496,2,155.7,2,7,1429,2657,8.57,21
497,4,122.04,13,14,1886,3733,13.67,18
498,1,180.48,12,12,1632,3986,18.54,14
499,2,334.32,3,12,1265,2319,17.43,12
500,2,155.7,12,7,1871,2039,8.57,15
501,2,156,4,1,1336,2834,8.6,15
502,2,234.72,1,14,1046,3556,13.28,22
503,1,197.76,5,11,1698,2850,19.98,11
504,2,271.2,8,11,1328,2815,14.8,11
505,3,62.9,14,8,1039,2220,5.58,13
506,1,155.16,4,5,1178,3896,16.43,20
507,2,105.3,12,8,1174,2943,3.53,11
508,2,148.5,5,12,1357,3072,7.85,12
509,2,227.52,11,2,1161,3743,12.98,9
510,3,177,8,3,1333,3901,18.25,12
511,4,77.85,8,10,1045,3297,8.57,12
512,2,114.2,10,4,1210,3845,4.42,11
513,2,105.6,1,4,1880,3158,3.56,19
514,2,376.56,9,2,1134,3537,19.19,18
515,3,89.15,12,8,1931,2267,10.83,2
516,3,96.12,9,2,1160,2405,11.51,23
517,1,50.25,7,15,1822,2303,3.05,8
518,2,286.8,8,2,1651,3681,15.45,10
519,4,163.44,13,8,1115,2516,17.12,6
520,2,377.28,13,13,1939,3963,19.22,21
521,4,88,11,9,1335,2621,10.6,21
522,2,178.3,8,2,1848,3390,10.83,11
523,4,79,3,5,1614,3467,8.8,11
524,2,247.2,3,12,1141,3887,13.8,18
525,2,148.5,6,6,1378,2116,7.85,19
526,4,49.9,1,3,1650,2400,2.98,11
527,2,139.4,9,4,1727,2036,6.94,16
528,1,55.2,2,2,1930,3351,4.04,11
529,2,178.3,2,7,1872,2910,10.83,19
530,4,53.45,12,5,1422,3468,3.69,22
531,4,48.4,11,10,1045,2582,2.68,15
532,2,176,13,15,1609,3023,10.6,11
533,4,65.15,14,12,1515,2306,6.03,19
534,1,154.8,14,14,1973,2347,16.4,18
535,2,134.5,7,14,1742,2592,6.45,6
536,3,65.15,4,3,1632,3052,6.03,16
537,1,138.36,6,3,1704,3377,15.03,1
538,2,330.48,11,15,1935,3129,17.27,6
539,2,139.4,10,12,1304,3833,6.94,12
540,2,164.2,11,7,1691,3872,9.42,21
541,2,132,9,14,1566,3366,6.2,1
542,1,58.55,1,5,1777,3060,4.71,6
543,2,141,2,10,1117,2199,7.1,10
544,2,156,7,1,1817,3439,8.6,17
545,3,56.9,14,8,1045,3340,4.38,2
546,4,161.88,11,14,1570,2096,16.99,11
547,2,155.7,8,10,1635,2735,8.57,19
548,3,49.5,15,15,1182,2272,2.9,21
549,1,45,12,1,1453,2472,2,16
550,3,45.9,14,5,1959,2712,2.18,13
551,1,83.4,15,7,1107,2939,9.68,20
552,2,182.64,6,12,1817,3536,11.11,23
553,2,92.1,11,13,1720,3224,2.21,10
554,2,114.2,3,4,1594,3483,4.42,13
555,2,100.4,1,1,1144,2070,3.04,17
556,2,227.52,9,13,1866,3927,12.98,1
557,2,132,14,2,1493,3887,6.2,20
558,2,276.72,9,3,1991,2005,15.03,1
559,4,56.9,6,9,1820,2448,4.38,14
560,2,192.24,12,15,1330,3048,11.51,19
561,4,82.3,3,4,1097,2778,9.46,17
562,2,178.3,7,8,1828,2794,10.83,18
563,2,150.4,13,9,1356,3308,8.04,7
564,2,372,10,6,1921,2185,19,9
565,4,78,6,13,1185,3108,8.6,22
566,2,220.8,1,1,1423,2865,12.7,20
567,4,66,5,2,1471,3786,6.2,17
568,3,96.12,9,15,1497,3612,11.51,1
569,2,158,2,4,1534,3471,8.8,6
570,2,304.32,15,15,1837,2120,16.18,6
571,2,141,14,9,1601,3900,7.1,21
572,4,155.16,6,2,1955,3665,16.43,13
573,1,69.7,6,12,1563,2780,6.94,11
574,2,96.8,5,15,1798,3574,2.68,13
575,4,147.84,4,10,1252,2354,15.82,6
576,2,149.8,1,4,1919,3112,7.98,20
577,1,75.2,14,13,1328,2214,8.04,19
578,2,178.3,12,7,1445,3799,10.83,19
579,2,286.8,14,6,1254,2165,15.45,1
580,3,83.4,1,5,1153,3212,9.68,19
581,3,56.9,1,8,1353,3100,4.38,7
582,2,132.4,11,10,1236,2771,6.24,18
583,3,152.04,12,12,1552,2267,16.17,12
584,1,119.28,12,1,1262,3019,13.44,11
585,2,92.1,2,10,1591,3835,2.21,13
586,1,78,2,13,1490,2477,8.6,20
587,2,90,11,3,1622,2141,2,11
