trip_id,loc_from,searches,searches_got_estimate,searches_for_quotes,searches_got_quotes,customer_not_cancelled,driver_not_cancelled,otp_entered,end_ride
45,8.0,1,0,0,0,0,0,0,0
46,8.0,1,1,1,1,1,1,1,1
47,2.0,1,1,1,1,1,1,1,1
48,9.0,1,1,1,1,1,1,1,1
49,14.0,1,1,1,0,0,0,0,0
50,5.0,1,1,1,1,1,1,1,1
51,8.0,1,1,1,1,1,1,1,1
52,9.0,1,1,1,1,1,1,1,1
53,9.0,1,1,1,1,1,1,1,1
54,14.0,1,1,1,1,1,1,1,1
55,13.0,1,1,1,1,1,1,1,1
56,13.0,1,1,1,1,1,1,1,1
57,9.0,0,0,0,0,0,0,0,0
58,7.0,1,1,1,1,1,1,1,1
59,1.0,1,1,1,1,1,1,1,1
60,3.0,1,1,1,1,1,1,1,1
61,7.0,1,1,1,1,1,1,1,1
62,9.0,1,1,1,1,1,1,1,1
63,9.0,1,1,1,1,1,1,1,1
64,3.0,1,1,1,1,1,1,1,1
65,4.0,1,1,1,1,1,1,1,1
66,5.0,0,0,0,0,0,0,0,0
67,5.0,1,1,1,1,1,1,1,1
68,3.0,1,1,1,1,1,1,1,1
69,5.0,1,1,1,1,1,1,1,1
70,5.0,1,1,1,1,1,1,1,1
71,15.0,1,1,1,1,1,1,1,1
72,6.0,1,1,1,1,1,1,1,1
73,8.0,1,1,0,0,0,0,0,0
74,8.0,1,1,1,1,1,1,1,1
75,5.0,1,1,1,1,1,1,1,1
76,9.0,1,1,1,1,1,1,1,1
77,14.0,1,1,1,1,1,1,1,1
78,14.0,1,1,1,1,1,1,1,1
79,4.0,1,1,1,1,1,1,1,1
80,7.0,1,1,1,1,1,1,1,1
81,5.0,1,1,1,1,1,1,1,1
82,5.0,1,1,1,1,1,1,1,1
83,1.0,1,1,1,1,1,1,1,1
84,10.0,1,1,1,1,1,1,1,1
85,6.0,0,0,0,0,0,0,0,0
86,13.0,1,1,1,1,1,1,1,1
87,6.0,1,1,1,1,1,1,1,1
88,12.0,1,1,1,1,1,1,1,1
89,2.0,1,1,1,1,0,0,0,0
90,5.0,0,0,0,0,0,0,0,0
91,10.0,1,1,1,1,1,1,1,1
92,1.0,1,1,1,1,1,1,1,1
93,11.0,1,1,0,0,0,0,0,0
94,10.0,1,1,1,0,0,0,0,0
95,11.0,1,1,1,1,1,1,1,1
96,10.0,1,1,1,1,1,1,1,1
97,11.0,1,1,1,1,1,1,1,1
98,13.0,1,1,1,1,1,1,1,1
99,4.0,1,1,1,1,1,1,1,1
100,3.0,1,1,1,1,1,1,1,1
101,2.0,0,0,0,0,0,0,0,0
102,3.0,1,1,1,1,1,1,1,1
103,13.0,1,1,1,1,1,1,1,1
104,5.0,1,1,1,1,1,1,1,1
105,10.0,1,1,1,1,1,1,1,1
106,3.0,1,1,1,1,1,1,1,1
107,11.0,1,1,1,1,1,1,1,1
108,15.0,1,1,1,1,1,1,1,1
109,14.0,1,1,1,1,1,1,1,1
110,3.0,1,1,1,1,1,1,1,1
111,9.0,1,1,1,1,1,1,1,1
112,5.0,1,1,1,1,1,1,1,1
113,12.0,1,1,1,1,1,1,1,1
114,8.0,1,1,1,1,1,1,1,1
115,2.0,0,0,0,0,0,0,0,0
116,8.0,1,1,1,1,1,1,1,1
117,12.0,1,1,1,1,1,1,1,1
118,12.0,1,0,0,0,0,0,0,0
119,7.0,0,0,0,0,0,0,0,0
120,7.0,1,1,1,1,1,1,1,1
121,3.0,1,1,1,1,1,1,1,1
122,14.0,0,0,0,0,0,0,0,0
123,8.0,1,1,1,1,1,1,1,1
124,7.0,1,1,1,1,1,1,1,1
125,6.0,1,1,1,1,1,1,1,1
126,12.0,1,1,1,1,1,1,1,1
127,11.0,1,1,1,1,1,1,1,1
128,2.0,1,1,1,1,1,1,1,1
129,2.0,1,1,1,1,1,1,1,1
130,4.0,1,1,1,1,1,1,1,1
131,6.0,1,1,1,1,1,1,1,1
132,11.0,1,1,1,1,1,1,1,1
133,3.0,1,1,1,1,1,1,1,1
134,12.0,1,1,1,1,1,1,1,1
135,9.0,1,1,1,1,1,1,1,1
136,14.0,1,1,1,1,1,1,1,1
137,11.0,1,1,1,1,1,1,1,1
138,10.0,1,1,1,1,1,1,1,1
139,8.0,1,1,1,1,1,1,1,1
140,6.0,1,1,1,1,1,1,1,1
141,15.0,1,1,1,1,1,1,1,1
142,6.0,0,0,0,0,0,0,0,0
143,4.0,1,1,1,1,1,1,1,1
144,10.0,1,1,1,1,1,1,1,1
145,11.0,1,1,1,1,1,1,1,1
146,5.0,1,1,1,1,1,1,1,1
147,6.0,1,1,1,1,1,1,1,1
148,2.0,1,1,1,1,1,1,1,1
149,10.0,1,1,1,1,1,1,1,1
150,6.0,1,1,1,1,1,1,1,1
151,5.0,1,1,0,0,0,0,0,0
152,1.0,1,1,1,1,1,1,1,1
153,6.0,1,1,1,1,1,1,1,1
154,11.0,1,1,1,1,1,1,1,1
155,7.0,1,1,1,1,1,1,1,1
156,10.0,1,1,1,1,1,1,1,1
157,12.0,1,1,1,1,1,1,1,1
158,11.0,1,1,1,1,1,1,1,1
159,5.0,0,0,0,0,0,0,0,0
160,15.0,1,1,1,1,1,1,1,1
161,4.0,1,1,0,0,0,0,0,0
162,6.0,1,1,1,1,1,1,1,1
163,7.0,1,1,1,1,1,1,1,1
164,2.0,1,1,1,1,1,1,1,1
165,10.0,1,1,1,1,1,1,1,1
166,2.0,1,1,1,1,1,1,1,1
167,8.0,1,1,1,1,1,1,1,1
168,12.0,1,1,1,1,1,1,1,1
169,3.0,1,1,1,1,1,1,1,1
170,3.0,1,1,1,1,1,1,1,1
171,12.0,1,1,1,1,1,1,1,1
172,10.0,1,1,1,1,1,1,1,1
173,11.0,1,1,1,1,1,1,1,1
174,11.0,1,1,1,1,1,1,1,1
175,2.0,1,1,1,1,1,1,1,1
176,15.0,1,1,1,1,1,1,1,1
177,12.0,1,1,1,1,1,1,1,1
178,12.0,1,1,1,1,1,1,1,1
179,1.0,1,1,1,1,1,1,1,1
180,7.0,1,1,1,1,1,1,1,1
181,1.0,1,1,1,1,1,1,1,1
182,15.0,1,1,1,1,0,0,0,0
183,7.0,1,1,1,1,1,1,1,1
184,7.0,1,1,1,1,1,1,1,1
185,4.0,1,1,1,1,1,1,1,1
186,7.0,1,1,1,1,1,1,1,1
187,3.0,1,1,1,1,1,1,1,1
188,4.0,1,1,1,1,1,1,1,1
189,8.0,1,1,1,1,1,1,1,1
190,15.0,1,1,1,1,1,1,1,1
191,7.0,1,1,1,1,1,1,1,1
192,15.0,0,0,0,0,0,0,0,0
193,4.0,1,1,1,1,1,1,1,1
194,15.0,0,0,0,0,0,0,0,0
195,13.0,1,1,1,1,1,1,1,1
196,10.0,1,1,1,1,1,1,1,1
197,9.0,1,1,1,1,1,1,1,1
198,15.0,1,1,1,1,1,1,1,1
199,13.0,1,1,1,1,1,1,1,1
200,4.0,1,1,1,1,1,1,1,1
201,7.0,1,1,1,1,1,1,1,1
202,3.0,1,1,1,1,1,1,1,1
203,14.0,0,0,0,0,0,0,0,0
204,13.0,1,1,1,1,1,1,1,1
205,4.0,1,1,1,1,1,1,1,1
206,15.0,1,1,1,1,1,1,1,1
207,6.0,1,1,1,1,1,1,1,1
208,1.0,1,1,1,1,1,1,1,1
209,8.0,1,1,1,1,1,1,1,1
210,2.0,1,1,1,1,1,1,1,1
211,3.0,1,1,1,1,1,1,1,1
212,15.0,1,1,1,1,1,1,1,1
213,15.0,1,1,1,1,1,1,1,1
214,8.0,1,1,1,1,1,1,1,1
215,9.0,0,0,0,0,0,0,0,0
216,11.0,1,1,1,1,1,1,1,1
217,14.0,1,1,1,1,1,1,1,1
218,4.0,0,0,0,0,0,0,0,0
219,12.0,1,1,1,1,1,1,1,1
220,12.0,1,1,0,0,0,0,0,0
221,8.0,1,1,1,1,1,1,1,1
222,15.0,1,0,0,0,0,0,0,0
223,10.0,1,1,1,1,1,1,1,1
224,12.0,1,1,1,1,1,1,1,1
225,4.0,1,1,1,1,1,1,1,1
226,9.0,1,1,1,1,1,1,1,1
227,15.0,0,0,0,0,0,0,0,0
228,9.0,1,1,1,1,1,1,1,1
229,1.0,1,1,1,1,1,1,1,1
230,5.0,1,1,1,1,1,1,1,1
231,7.0,1,1,1,1,1,1,1,1
232,4.0,1,1,1,1,1,1,1,1
233,8.0,0,0,0,0,0,0,0,0
234,8.0,1,0,0,0,0,0,0,0
235,12.0,1,1,1,1,1,1,1,1
236,11.0,1,1,0,0,0,0,0,0
237,14.0,1,0,0,0,0,0,0,0
238,6.0,1,1,1,1,1,1,1,1
239,15.0,1,1,1,1,1,1,1,1
240,3.0,0,0,0,0,0,0,0,0
241,14.0,1,1,1,1,1,1,1,1
242,10.0,1,1,1,1,1,1,1,1
243,10.0,1,1,1,1,1,1,1,1
244,4.0,1,1,1,1,1,1,1,1
245,2.0,1,1,1,1,1,1,1,1
246,6.0,1,1,1,1,1,1,1,1
247,2.0,1,1,1,1,1,1,1,1
248,9.0,0,0,0,0,0,0,0,0
249,13.0,1,1,1,1,1,1,1,1
250,10.0,1,0,0,0,0,0,0,0
251,3.0,1,1,1,1,1,1,1,1
252,10.0,1,1,1,1,1,1,1,1
253,5.0,1,1,1,1,1,1,1,1
254,3.0,1,1,1,1,1,1,1,1
255,10.0,1,1,1,1,1,1,1,1
256,1.0,1,1,1,1,1,1,1,1
257,5.0,1,1,1,1,1,1,1,1
258,1.0,1,1,1,1,1,1,1,1
259,13.0,1,1,1,1,1,1,1,1
260,10.0,1,1,1,1,1,1,1,1
261,10.0,1,1,1,1,1,1,1,1
262,5.0,1,1,1,1,1,1,1,1
263,12.0,1,1,1,1,1,1,1,1
264,6.0,1,1,1,1,1,1,1,1
265,14.0,1,1,1,1,1,1,1,1
266,7.0,1,1,1,1,1,1,1,1
267,4.0,0,0,0,0,0,0,0,0
268,14.0,1,1,1,1,1,1,1,1
269,12.0,1,1,1,1,1,1,1,1
270,4.0,1,1,1,1,1,1,1,1
271,2.0,1,1,1,1,1,1,1,1
272,12.0,1,1,1,1,1,1,1,1
273,4.0,0,0,0,0,0,0,0,0
274,3.0,1,1,1,1,1,1,1,1
275,15.0,1,1,1,1,1,1,1,1
276,5.0,1,1,1,1,1,1,1,1
277,1.0,1,1,1,1,1,1,1,1
278,15.0,1,0,0,0,0,0,0,0
279,12.0,1,1,1,1,1,1,1,1
280,14.0,1,1,1,1,1,1,1,1
281,5.0,0,0,0,0,0,0,0,0
282,6.0,1,1,1,1,1,1,1,1
283,1.0,1,1,1,1,1,1,1,1
284,14.0,1,1,1,1,1,1,1,1
285,15.0,1,1,1,1,1,1,1,1
286,5.0,1,1,1,1,1,1,1,1
287,8.0,1,1,1,1,1,1,1,1
288,6.0,1,1,1,1,1,1,1,1
289,9.0,1,1,1,1,1,1,1,1
290,2.0,1,1,1,1,1,1,1,1
291,6.0,1,1,1,1,1,1,1,1
292,5.0,1,1,1,1,1,1,1,1
293,14.0,1,1,1,1,1,1,1,1
294,13.0,0,0,0,0,0,0,0,0
295,13.0,1,1,1,1,1,1,1,1
296,5.0,1,1,1,1,1,1,1,1
297,9.0,0,0,0,0,0,0,0,0
298,14.0,0,0,0,0,0,0,0,0
299,13.0,1,1,1,1,1,1,1,1
300,15.0,1,1,1,1,1,1,1,1
301,8.0,1,1,1,1,1,1,1,1
302,3.0,1,1,1,1,1,1,1,1
303,1.0,1,1,1,1,1,1,1,1
304,8.0,1,1,1,1,1,1,1,1
305,1.0,1,1,1,1,1,1,1,1
306,13.0,1,1,1,1,1,1,1,1
307,5.0,1,1,1,1,1,1,1,1
308,11.0,0,0,0,0,0,0,0,0
309,15.0,1,1,1,1,1,1,1,1
310,5.0,0,0,0,0,0,0,0,0
311,11.0,1,1,1,1,1,1,1,1
312,12.0,1,1,1,1,1,1,1,1
313,5.0,1,1,1,1,1,1,1,1
314,9.0,1,1,1,1,1,1,1,1
315,6.0,1,1,1,1,1,1,1,1
316,10.0,1,1,1,1,1,1,1,1
317,7.0,1,1,1,1,1,1,1,1
318,5.0,1,1,1,1,1,1,1,1
319,4.0,1,1,1,1,1,1,1,1
320,5.0,1,1,1,1,1,1,1,1
321,11.0,1,1,1,1,1,1,1,1
322,1.0,1,1,1,1,1,1,1,1
323,9.0,1,1,1,1,1,1,1,1
324,10.0,1,1,1,1,1,1,1,1
325,2.0,1,1,1,1,1,1,1,1
326,13.0,1,1,1,1,1,1,1,1
327,6.0,1,1,1,1,1,1,1,1
328,12.0,0,0,0,0,0,0,0,0
329,15.0,1,1,0,0,0,0,0,0
330,3.0,1,1,1,1,1,1,1,1
331,7.0,1,1,1,1,1,1,1,1
332,14.0,1,1,1,1,1,1,1,1
333,11.0,0,0,0,0,0,0,0,0
334,11.0,1,1,1,1,1,1,1,1
335,7.0,1,1,1,1,1,1,1,1
336,13.0,1,1,1,1,1,1,1,1
337,3.0,1,1,1,1,1,1,1,1
338,8.0,1,1,1,1,1,1,1,1
339,5.0,1,1,1,1,1,1,1,1
340,14.0,1,1,1,1,1,1,1,1
341,1.0,1,1,1,1,1,1,1,1
342,1.0,1,1,1,1,1,1,1,1
343,10.0,1,1,1,1,1,1,1,1
344,5.0,1,1,1,1,1,1,1,1
345,9.0,1,1,1,1,1,1,1,1
346,2.0,1,1,1,1,1,1,1,1
347,13.0,1,1,1,1,1,1,1,1
348,8.0,1,1,1,1,1,1,1,1
349,3.0,1,1,1,1,1,1,1,1
350,12.0,1,1,1,1,1,1,1,1
351,3.0,1,1,1,0,0,0,0,0
352,4.0,1,1,1,1,1,1,1,1
353,6.0,1,1,1,1,1,1,1,1
354,2.0,1,1,1,1,1,1,1,1
355,15.0,1,1,1,1,1,1,1,1
356,7.0,1,1,1,1,1,1,1,1
357,5.0,0,0,0,0,0,0,0,0
358,8.0,1,1,1,1,1,1,1,1
359,11.0,1,1,1,1,1,1,1,1
360,11.0,1,1,1,1,1,1,1,1
361,6.0,1,1,1,1,1,1,1,1
362,1.0,0,0,0,0,0,0,0,0
363,2.0,1,1,1,1,1,1,1,1
364,7.0,1,1,1,1,1,1,1,1
365,13.0,1,1,1,1,1,1,1,1
366,9.0,1,1,1,1,1,1,1,1
367,4.0,1,1,1,1,1,1,1,1
368,11.0,1,1,1,1,1,1,1,1
369,13.0,1,0,0,0,0,0,0,0
370,6.0,1,1,1,1,1,1,1,1
371,11.0,1,1,1,1,1,1,1,1
372,3.0,1,1,1,1,1,1,1,1
373,8.0,1,1,1,1,1,1,1,1
374,14.0,1,1,1,1,1,1,1,1
375,4.0,1,1,1,1,1,1,1,1
376,7.0,1,1,1,1,1,1,1,1
377,8.0,1,1,1,1,1,1,1,1
378,8.0,1,1,1,1,1,1,1,1
379,11.0,1,0,0,0,0,0,0,0
380,5.0,1,1,1,1,1,1,1,1
381,7.0,1,1,1,1,1,1,1,1
382,5.0,1,1,1,1,1,1,1,1
383,13.0,1,1,1,1,1,1,1,1
384,15.0,1,1,1,1,1,1,1,1
385,9.0,1,1,1,1,1,1,1,1
386,14.0,1,1,1,1,1,1,1,1
387,5.0,1,1,1,1,1,1,1,1
388,14.0,1,1,1,1,1,1,1,1
389,1.0,1,1,1,1,1,1,1,1
390,13.0,1,1,1,1,1,1,1,1
391,12.0,1,1,1,1,1,1,1,1
392,3.0,1,1,1,1,1,1,1,1
393,9.0,1,1,1,1,1,1,1,1
394,13.0,1,1,1,1,1,1,1,1
395,3.0,1,1,0,0,0,0,0,0
396,15.0,1,1,1,1,1,1,1,1
397,1.0,1,1,1,1,1,1,1,1
398,5.0,1,1,1,1,1,1,1,1
399,9.0,0,0,0,0,0,0,0,0
400,12.0,1,1,1,1,1,1,1,1
401,3.0,1,1,1,1,1,1,1,1
402,6.0,1,1,1,1,1,1,1,1
403,12.0,1,1,1,1,1,1,1,1
404,10.0,0,0,0,0,0,0,0,0
405,9.0,1,1,1,1,1,1,1,1
406,3.0,1,1,1,1,1,1,1,1
407,7.0,1,1,1,1,1,1,1,1
408,2.0,1,1,1,1,1,1,1,1
409,1.0,1,1,1,1,1,1,1,1
410,1.0,1,1,1,1,1,1,1,1
411,3.0,1,1,1,1,1,1,1,1
412,1.0,1,1,1,1,1,1,1,1
413,6.0,1,1,1,1,1,1,1,1
414,13.0,1,1,1,1,1,1,1,1
415,13.0,1,1,1,1,1,1,1,1
416,8.0,0,0,0,0,0,0,0,0
417,7.0,1,1,1,1,1,1,1,1
418,6.0,1,1,1,1,1,1,1,1
419,14.0,1,1,1,1,1,1,1,1
420,5.0,1,0,0,0,0,0,0,0
421,4.0,1,1,1,1,1,1,1,1
422,8.0,1,1,1,1,1,1,1,1
423,10.0,1,1,1,1,1,1,1,1
424,1.0,1,1,1,1,1,1,1,1
425,8.0,1,1,1,1,1,1,1,1
426,9.0,1,1,1,1,1,1,1,1
427,6.0,1,1,1,1,1,1,1,1
428,5.0,1,1,1,1,1,1,1,1
429,14.0,1,1,1,1,1,1,1,1
430,7.0,1,1,1,1,1,1,1,1
431,4.0,1,1,1,1,1,1,1,1
432,10.0,1,1,1,1,1,1,1,1
433,12.0,1,1,1,0,0,0,0,0
434,1.0,1,1,1,1,1,1,1,1
435,13.0,1,1,1,1,1,1,1,1
436,13.0,1,1,1,1,1,1,1,1
437,12.0,1,1,1,1,1,1,1,1
438,9.0,1,1,1,1,1,1,1,1
439,8.0,1,1,1,1,1,1,1,1
440,7.0,1,1,1,1,1,1,1,1
441,12.0,1,1,1,1,1,1,1,1
442,15.0,1,1,1,1,1,1,1,1
443,7.0,1,1,1,1,1,1,1,1
444,3.0,1,1,1,1,1,1,1,1
445,15.0,1,1,1,1,1,1,1,1
446,7.0,1,1,1,1,1,1,1,1
447,13.0,1,1,1,1,1,1,1,1
448,15.0,1,1,1,1,1,1,1,1
449,10.0,1,1,1,1,1,1,1,1
450,3.0,1,0,0,0,0,0,0,0
451,9.0,1,1,1,1,1,1,1,1
452,15.0,1,1,1,1,1,1,1,1
453,6.0,1,1,1,1,1,1,1,1
454,10.0,1,1,1,1,1,1,1,1
455,4.0,1,1,1,1,1,1,1,1
456,13.0,1,1,1,1,1,1,1,1
457,1.0,1,1,1,1,1,1,1,1
458,3.0,1,1,1,1,1,1,1,1
459,5.0,1,1,1,1,1,1,1,1
460,4.0,1,1,1,1,1,1,1,1
461,3.0,1,1,1,1,1,1,1,1
462,2.0,1,1,1,1,1,1,1,1
463,15.0,1,1,1,1,1,1,1,1
464,2.0,1,1,1,1,1,1,1,1
465,6.0,1,1,1,1,1,1,1,1
466,5.0,1,1,1,1,1,1,1,1
467,1.0,1,1,1,1,1,1,1,1
468,6.0,1,1,1,1,1,1,1,1
469,5.0,1,1,1,1,1,1,1,1
470,10.0,1,1,1,0,0,0,0,0
471,8.0,1,1,1,1,1,1,1,1
472,11.0,0,0,0,0,0,0,0,0
473,8.0,1,1,1,1,1,1,1,1
474,7.0,1,1,1,1,1,1,1,1
475,9.0,1,1,1,0,0,0,0,0
476,6.0,1,1,1,1,1,1,1,1
477,13.0,0,0,0,0,0,0,0,0
478,11.0,1,1,1,1,1,1,1,1
479,10.0,1,1,1,1,1,1,1,1
480,7.0,1,1,1,1,1,1,1,1
481,2.0,1,0,0,0,0,0,0,0
482,10.0,1,1,1,1,1,1,1,1
483,1.0,1,1,1,1,1,1,1,1
484,3.0,1,1,1,1,1,1,1,1
485,10.0,1,1,1,1,1,1,1,1
486,10.0,1,1,1,1,1,1,1,1
487,14.0,1,1,1,1,1,1,1,1
488,10.0,0,0,0,0,0,0,0,0
489,4.0,1,1,1,1,1,1,1,1
490,4.0,1,1,1,1,1,1,1,1
491,10.0,1,1,1,1,1,1,1,1
492,1.0,1,1,1,1,1,1,1,1
493,9.0,1,1,1,1,1,1,1,1
494,9.0,1,1,1,1,1,1,1,1
495,11.0,1,1,1,1,1,1,1,1
496,10.0,1,1,1,1,1,1,1,1
497,10.0,1,1,1,1,1,1,1,1
498,4.0,1,1,1,1,1,1,1,1
499,4.0,1,1,1,1,1,1,1,1
500,3.0,1,1,1,1,1,1,1,1
501,2.0,1,1,1,1,1,1,1,1
502,11.0,1,1,1,1,1,1,1,1
503,12.0,1,1,1,1,1,1,1,1
504,15.0,1,1,1,1,1,1,1,1
505,14.0,1,1,1,1,1,1,1,1
506,10.0,1,1,1,1,1,1,1,1
507,14.0,1,1,1,1,1,1,1,1
508,2.0,1,1,1,1,1,1,1,1
509,9.0,1,1,1,1,1,1,1,1
510,15.0,1,1,1,1,1,1,1,1
511,1.0,1,1,1,1,1,1,1,1
512,15.0,1,1,1,1,1,1,1,1
513,8.0,1,1,1,1,1,1,1,1
514,15.0,1,1,1,1,1,1,1,1
515,13.0,1,1,1,1,1,1,1,1
516,10.0,1,1,1,1,1,1,1,1
517,10.0,1,1,1,1,1,1,1,1
518,6.0,1,1,1,1,1,1,1,1
519,13.0,1,1,1,1,1,1,1,1
520,14.0,1,1,1,1,1,1,1,1
521,3.0,1,1,1,1,1,1,1,1
522,14.0,1,1,1,1,1,1,1,1
523,1.0,1,1,1,1,1,1,1,1
524,1.0,1,1,1,1,1,1,1,1
525,11.0,1,1,1,1,1,1,1,1
526,15.0,1,1,1,1,1,1,1,1
527,15.0,1,1,1,0,0,0,0,0
528,13.0,1,1,1,1,1,1,1,1
529,10.0,1,1,1,1,1,1,1,1
530,4.0,1,1,1,1,1,1,1,1
531,13.0,1,1,1,1,1,1,1,1
532,14.0,1,1,1,1,1,1,1,1
533,8.0,1,1,1,1,1,1,1,1
534,6.0,1,1,1,1,1,1,1,1
535,1.0,1,1,1,1,1,1,1,1
536,12.0,1,1,1,1,1,1,1,1
537,8.0,1,1,1,1,1,1,1,1
538,3.0,1,1,1,1,1,1,1,1
539,5.0,1,1,1,1,1,1,1,1
540,13.0,0,0,0,0,0,0,0,0
541,3.0,1,1,1,1,1,1,1,1
542,15.0,1,1,1,1,1,1,1,1
543,11.0,1,1,1,1,1,1,1,1
544,12.0,1,1,1,1,1,1,1,1
545,6.0,1,1,1,1,1,1,1,1
546,14.0,0,0,0,0,0,0,0,0
547,15.0,1,1,1,1,1,1,1,1
548,1.0,1,1,1,1,1,1,1,1
549,3.0,1,1,1,1,1,1,1,1
550,6.0,1,1,1,1,1,1,1,1
551,9.0,1,1,0,0,0,0,0,0
552,14.0,1,1,1,1,1,1,1,1
553,12.0,1,1,1,1,1,1,1,1
554,14.0,0,0,0,0,0,0,0,0
555,6.0,1,1,1,1,1,1,1,1
556,3.0,1,1,1,1,1,1,1,1
557,4.0,1,1,1,1,1,1,1,1
558,15.0,1,1,0,0,0,0,0,0
559,3.0,1,1,1,1,1,1,1,1
560,3.0,1,1,1,1,1,1,1,1
561,10.0,1,1,1,1,1,1,1,1
562,14.0,1,1,1,1,1,1,1,1
563,4.0,1,1,1,1,1,1,1,1
564,5.0,1,1,1,1,1,1,1,1
565,15.0,1,1,1,1,1,1,1,1
566,4.0,1,1,1,1,1,1,1,1
567,4.0,1,1,1,1,1,1,1,1
568,15.0,1,1,1,1,1,1,1,1
569,12.0,1,1,1,1,1,1,1,1
570,9.0,1,1,1,1,1,1,1,1
571,12.0,1,1,1,1,1,1,1,1
572,15.0,1,1,1,1,1,1,1,1
573,10.0,1,1,1,1,1,1,1,1
574,10.0,1,0,0,0,0,0,0,0
575,8.0,1,1,1,1,1,1,1,1
576,11.0,1,1,1,1,1,1,1,1
577,2.0,1,1,1,1,1,1,1,1
578,13.0,1,1,1,1,1,1,1,1
579,12.0,1,1,1,1,1,1,1,1
580,3.0,1,1,1,1,1,1,1,1
581,12.0,1,1,1,1,1,1,1,1
582,4.0,1,1,1,1,1,1,1,1
583,1.0,1,1,1,1,1,1,1,1
584,5.0,1,1,1,1,1,1,1,1
585,8.0,1,1,1,1,1,1,1,1
586,14.0,1,1,1,1,1,1,1,1
587,5.0,0,0,0,0,0,0,0,0
588,4.0,1,1,1,1,1,1,1,1
589,12.0,1,1,1,1,1,1,1,1
590,3.0,0,0,0,0,0,0,0,0
591,5.0,1,1,1,1,1,1,1,1
592,11.0,1,1,1,1,1,1,1,1
593,8.0,1,1,1,1,1,1,1,1
594,8.0,1,1,1,1,1,1,1,1
595,11.0,0,0,0,0,0,0,0,0
596,10.0,1,1,1,1,1,1,1,1
597,1.0,1,1,1,1,1,1,1,1
598,9.0,1,1,0,0,0,0,0,0
599,9.0,1,1,1,1,1,1,1,1
600,12.0,1,1,1,1,1,1,1,1
601,9.0,1,1,1,1,1,1,1,1
602,7.0,1,1,1,1,1,1,1,1
603,6.0,0,0,0,0,0,0,0,0
604,13.0,1,1,1,1,0,0,0,0
605,8.0,1,1,1,1,1,1,1,1
606,13.0,1,1,1,1,1,1,1,1
607,13.0,1,1,1,1,1,1,1,1
608,11.0,1,1,1,1,1,1,1,1
609,8.0,1,1,1,1,1,1,1,1
610,1.0,1,1,0,0,0,0,0,0
611,3.0,1,1,1,1,1,1,1,1
612,3.0,1,1,1,1,1,1,1,1
613,6.0,1,1,1,1,1,1,1,1
614,1.0,1,1,1,1,1,1,1,1
615,9.0,1,1,1,1,1,1,1,1
616,2.0,1,1,1,1,1,1,1,1
617,2.0,1,1,1,1,1,1,1,1
618,12.0,1,1,1,1,1,1,1,1
619,11.0,1,1,1,1,1,1,1,1
620,13.0,1,1,1,1,1,1,1,1
621,14.0,1,1,1,1,1,1,1,1
622,8.0,0,0,0,0,0,0,0,0
623,14.0,1,1,1,1,1,1,1,1
624,7.0,1,1,1,1,1,1,1,1
625,4.0,1,1,1,1,1,1,1,1
626,6.0,1,1,1,1,1,1,1,1
627,11.0,1,1,1,1,1,1,1,1
628,10.0,1,1,1,1,1,1,1,1
629,11.0,1,1,1,1,1,1,1,1
